,Unnamed: 0,MAL_ID,Name,Score,Genres,English name,Japanese name,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1
1980,1980,2163,AIKa R-16: Virgin Mission,5.97,"Action, Ecchi, Comedy",AIKa R-16:Virgin Mission,AIKa R-16:VIRGIN MISSION,OVA,3,"Apr 25, 2007 to Oct 26, 2007",Unknown,Bandai Visual,Bandai Entertainment,Studio Fantasia,Original,25 min. per ep.,R+ - Mild Nudity,8326.0,3693,19610,33,763,11572,529,592,6154,292.0,384.0,847.0,1857.0,2094.0,1592.0,772.0,374.0,231.0,172.0
1981,1981,2164,Dennou Coil,8.09,"Adventure, Comedy, Drama, Mystery, Sci-Fi",Den-noh Coil,電脳コイル,TV,26,"May 12, 2007 to Dec 1, 2007",Spring 2007,"Bandai Visual, NHK, Tokuma Shoten",Maiden Japan,Madhouse,Original,25 min. per ep.,G - All Ages,420.0,1212,121554,1551,6388,41650,6793,4368,62355,4829.0,9631.0,11715.0,6838.0,2667.0,1198.0,445.0,150.0,98.0,117.0
1982,1982,2165,Gegege no Kitarou (2007),6.93,"Comedy, Horror, Fantasy",Unknown,ゲゲゲの鬼太郎 (2007),TV,100,"Apr 1, 2007 to Mar 29, 2009",Spring 2007,Unknown,Unknown,Toei Animation,Manga,24 min. per ep.,G - All Ages,3895.0,6949,4172,15,289,1137,307,367,2072,80.0,82.0,196.0,380.0,189.0,100.0,30.0,11.0,10.0,8.0
1983,1983,2166,Doujin Work,6.79,"Slice of Life, Comedy",Dojin Work,ドージンワーク,TV,12,"Jul 4, 2007 to Sep 19, 2007",Summer 2007,"m.o.e., Media Factory, Half H.P Studio, Houbunsha, Index, Toranoana",Media Blasters,Remic,4-koma manga,13 min. per ep.,PG-13 - Teens 13 or older,4475.0,3255,25307,39,830,15388,939,1081,7069,422.0,942.0,2335.0,3831.0,2701.0,1370.0,511.0,151.0,85.0,58.0
1984,1984,2167,Clannad,8.07,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",Clannad,CLANNAD,TV,23,"Oct 5, 2007 to Mar 28, 2008",Fall 2007,"Pony Canyon, TBS, Movic, Animation Do",Sentai Filmworks,Kyoto Animation,Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,446.0,58,1095634,27283,49249,725568,36567,36403,247847,126390.0,134881.0,153226.0,103900.0,45801.0,23232.0,10903.0,4753.0,2780.0,3017.0
1985,1985,2168,Sakura Taisen: New York,6.33,"Adventure, Comedy, Supernatural",Sakura Wars:New York,サクラ大戦 ニューヨーク・紐育,OVA,6,"Apr 4, 2007 to Aug 1, 2007",Unknown,"Sega, Imagine",Unknown,AIC,Game,24 min. per ep.,PG-13 - Teens 13 or older,6700.0,8088,2674,4,108,1114,101,100,1251,46.0,39.0,101.0,210.0,191.0,116.0,49.0,30.0,17.0,8.0
1986,1986,2169,Ice,5.37,"Action, Military, Sci-Fi, Shoujo Ai",Unknown,ICE - アイス -,OVA,3,"May 25, 2007 to Sep 25, 2007",Unknown,Unknown,Sentai Filmworks,PPM,Original,37 min. per ep.,R - 17+ (violence & profanity),9998.0,5514,7480,6,248,3957,204,414,2657,108.0,122.0,279.0,541.0,593.0,497.0,398.0,247.0,205.0,237.0
1987,1987,2170,Sousei no Aquarion OVA,7.08,"Action, Mecha, Romance, Sci-Fi, Super Power, Supernatural",Unknown,ＯＶＡ『創星のアクエリオン』,OVA,2,"May 25, 2007 to Nov 22, 2007",Unknown,Unknown,Unknown,Satelight,Original,54 min. per ep.,R+ - Mild Nudity,3307.0,4945,9807,12,231,6102,225,150,3099,279.0,384.0,867.0,1290.0,685.0,329.0,104.0,48.0,18.0,17.0
1988,1988,2171,Detective Conan Movie 11: Jolly Roger in the Deep Azure,7.48,"Adventure, Comedy, Mystery, Police, Shounen",Unknown,名探偵コナン 紺碧の棺 （ジョリー・ロジャー）,Movie,1,"Apr 21, 2007",Unknown,Big Bang,Unknown,TMS Entertainment,Manga,1 hr. 45 min.,PG-13 - Teens 13 or older,1628.0,2791,33650,14,254,30120,172,147,2957,2257.0,2597.0,5213.0,5482.0,2549.0,1115.0,400.0,131.0,69.0,49.0
1989,1989,2172,Crayon Shin-chan Movie 15: Arashi wo Yobu Utau Ketsu dake Bakudan!,6.77,"Comedy, Ecchi, School, Seinen",Unknown,映画 クレヨンしんちゃん 嵐を呼ぶ歌うケツだけ爆弾,Movie,1,"Apr 21, 2007",Unknown,"TV Asahi, Futabasha",Unknown,Unknown,Manga,1 hr. 45 min.,G - All Ages,4579.0,8502,2288,2,59,1532,36,87,574,81.0,85.0,137.0,297.0,199.0,106.0,40.0,11.0,8.0,12.0
1990,1990,2173,Kouchuu Ouja Mushiking Super Battle Movie: Yami no Kaizou Kouchuu,Unknown,"Adventure, Fantasy",Mushiking:The King of Beetles SUPER BATTLE MOVIE -Altered Beetles of Darkness-,甲虫王者ムシキング　スーパーバトルムービー ～闇の改造甲虫～,Movie,1,"Mar 21, 2007",Unknown,Sega,Unknown,Unknown,Card game,50 min.,G - All Ages,15166.0,12530,424,1,20,159,16,41,188,9.0,5.0,4.0,20.0,22.0,18.0,9.0,3.0,7.0,4.0
1991,1991,2174,Hokuto no Ken: Raoh Gaiden Gekitou-hen,7.57,"Action, Adventure, Martial Arts, Romance",Unknown,真救世主伝説　北斗の拳　ラオウ伝　激闘の章,Movie,1,"Apr 28, 2007",Unknown,Unknown,Unknown,Toei Animation,Unknown,1 hr. 29 min.,R - 17+ (violence & profanity),1372.0,5317,8164,23,202,5070,116,112,2664,381.0,552.0,1031.0,997.0,379.0,170.0,43.0,22.0,9.0,31.0
1992,1992,2175,Kino no Tabi: The Beautiful World - Byouki no Kuni - For You,7.71,"Adventure, Drama, Fantasy",Unknown,キノの旅 -the Beautiful World- 病気の国 -For You-,Movie,1,"Apr 21, 2007",Unknown,Unknown,Unknown,Shaft,Light novel,28 min.,R - 17+ (violence & profanity),1009.0,2507,41050,33,725,25328,457,184,14356,1588.0,3375.0,6084.0,4803.0,1894.0,655.0,144.0,47.0,31.0,28.0
1993,1993,2176,Kiddy Grade: Ignition,7.02,"Action, Mecha, Sci-Fi, Super Power",Unknown,キディ・グレイド　劇場版　第一部:覚醒篇,Movie,1,"Apr 7, 2007",Unknown,gimik,Unknown,"Gonzo, Asread",Original,1 hr. 24 min.,PG-13 - Teens 13 or older,3568.0,6811,4393,5,111,2065,100,108,2009,128.0,136.0,214.0,409.0,216.0,107.0,50.0,13.0,6.0,9.0
1994,1994,2178,Highlander: The Search for Vengeance,6.75,"Action, Horror, Sci-Fi",Unknown,ハイランダー,Movie,1,"Feb 14, 2007",Unknown,Imagi,Anchor Bay Films,Madhouse,Unknown,1 hr. 26 min.,R - 17+ (violence & profanity),4690.0,4218,14539,21,297,9708,135,126,4273,332.0,600.0,1434.0,2208.0,1538.0,736.0,388.0,141.0,74.0,48.0
1995,1995,2179,Tokimeki Memorial: Forever With You,6.12,"Drama, Romance, School",Unknown,ときめきメモリアル 〜forever with you〜,OVA,2,"Jun 17, 1999 to Oct 8, 1999",Unknown,Unknown,Unknown,Studio Pierrot,Game,50 min. per ep.,PG-13 - Teens 13 or older,7745.0,8372,2428,1,76,1146,50,93,1063,36.0,37.0,83.0,176.0,188.0,145.0,61.0,33.0,12.0,14.0
1996,1996,2180,Slow Step,6.56,"Slice of Life, Comedy, Sports, Romance, School, Shoujo",Slow Step,スローステップ,OVA,5,"Jun 1, 1991 to Nov 1, 1991",Unknown,Unknown,Unknown,Youmex,Manga,45 min. per ep.,PG-13 - Teens 13 or older,5586.0,8304,2479,0,98,952,80,85,1264,35.0,48.0,124.0,215.0,171.0,87.0,32.0,12.0,7.0,12.0
1997,1997,2181,TANK S.W.A.T. 01,4.93,"Police, Mecha",TANK S.W.A.T. 01,警察戦車隊,OVA,1,"Mar 24, 2006",Unknown,Unknown,Unknown,Unknown,Original,30 min.,PG-13 - Teens 13 or older,10648.0,8481,2303,0,72,1238,44,62,887,18.0,15.0,31.0,127.0,159.0,223.0,142.0,88.0,84.0,72.0
1998,1998,2182,Robot Carnival,7.28,"Sci-Fi, Fantasy, Mecha",Robot Carnival,ロボット・カーニバル,OVA,1,"Jul 21, 1987",Unknown,Unknown,Discotek Media,APPP,Original,1 hr. 31 min.,PG-13 - Teens 13 or older,2442.0,3968,16702,86,497,8075,267,152,7711,534.0,800.0,1533.0,1747.0,986.0,401.0,174.0,66.0,23.0,15.0
1999,1999,2183,Ayane-chan High Kick!,5.84,"Comedy, Shounen, Sports",Ayane's High Kick,綾音ちゃんハイキック!,OVA,2,"Jan 21, 1997 to Apr 25, 1997",Unknown,Unknown,Central Park Media,"Rikuentai, Nikkatsu",Original,27 min. per ep.,PG-13 - Teens 13 or older,8700.0,6884,4296,7,118,2747,61,98,1272,45.0,51.0,158.0,418.0,571.0,459.0,189.0,78.0,42.0,27.0
2000,2000,2185,Words Worth Gaiden,5.83,"Action, Adventure, Fantasy, Hentai",Unknown,ワーズ・ワース外伝,OVA,2,"Jul 25, 2002 to Sep 25, 2002",Unknown,Green Bunny,NuTech Digital,Arms,Visual novel,27 min. per ep.,Rx - Hentai,Unknown,7351,3615,12,196,2151,119,122,1027,59.0,63.0,145.0,251.0,337.0,276.0,146.0,72.0,53.0,36.0
2001,2001,2186,Maid no Yakata: Zetsubou-hen,5.48,Hentai,Unknown,メイドの館～絶望編～,OVA,2,"Sep 6, 2002 to Dec 13, 2002",Unknown,Y.O.U.C,Unknown,Unknown,Unknown,30 min. per ep.,Rx - Hentai,Unknown,8830,1996,7,144,953,92,113,694,31.0,19.0,37.0,83.0,128.0,118.0,64.0,52.0,26.0,35.0
2002,2002,2187,Shuudan Chikan Densha,5.93,Hentai,Gold Throbber,集団痴漢電車,OVA,2,"Jun 10, 2005 to Sep 9, 2005",Unknown,Y.O.U.C,Media Blasters,Unknown,Visual novel,30 min. per ep.,Rx - Hentai,Unknown,9044,1851,3,141,1014,85,90,521,38.0,21.0,58.0,137.0,123.0,133.0,52.0,27.0,27.0,15.0
2003,2003,2188,Maid in Heaven SuperS,6.42,Hentai,Maid in Heaven,MAID iN HEAVEN SuperS,OVA,2,"Oct 28, 2005 to Nov 25, 2005",Unknown,"Green Bunny, Shinkuukan",Unknown,Unknown,Visual novel,30 min. per ep.,Rx - Hentai,Unknown,5628,7103,35,453,4457,261,246,1686,215.0,233.0,418.0,710.0,606.0,414.0,179.0,105.0,72.0,52.0
2004,2004,2189,Shinseiki Inma Seiden,6.12,"Hentai, School, Supernatural",Inma Seiden:The Legend of the Beast of Lust,新世紀 淫魔聖伝,OVA,6,"Mar 25, 2001 to Oct 25, 2002",Unknown,Green Bunny,"NuTech Digital, Kitty Media",Arms,Original,30 min. per ep.,Rx - Hentai,Unknown,8487,2299,15,220,935,118,135,891,48.0,46.0,73.0,127.0,127.0,92.0,48.0,29.0,25.0,23.0
2005,2005,2190,Tsubaki Iro no Purijioone,5.35,Hentai,Unknown,椿色のプリジオーネ,OVA,3,"Jun 25, 2002 to Dec 21, 2002",Unknown,"Green Bunny, Shinkuukan",Unknown,Unknown,Visual novel,30 min. per ep.,Rx - Hentai,Unknown,9685,1430,1,92,662,77,111,488,24.0,7.0,23.0,53.0,91.0,94.0,51.0,42.0,19.0,21.0
2006,2006,2191,Waver,6.14,Hentai,Behind Closed Doors,WAVER（ウェーバー）,OVA,3,"Sep 21, 2001 to Apr 25, 2002",Unknown,Milky Animation Label,Unknown,Unknown,Unknown,30 min. per ep.,Rx - Hentai,Unknown,7756,3068,14,181,1738,132,137,880,70.0,72.0,124.0,231.0,242.0,207.0,73.0,41.0,26.0,37.0
2007,2007,2193,Saiunkoku Monogatari Recaps,7.28,"Adventure, Comedy, Historical, Drama, Romance, Fantasy",Unknown,彩雲国物語 彩雲国絵巻,Special,9,"Mar 1, 2007 to Mar 24, 2007",Unknown,Unknown,Unknown,Madhouse,Light novel,25 min. per ep.,PG-13 - Teens 13 or older,2443.0,6805,4418,9,129,1914,99,134,2142,136.0,160.0,234.0,319.0,150.0,84.0,21.0,9.0,6.0,7.0
2008,2008,2194,Mejoku,6.33,Hentai,Sextra Credit,めじょく,OVA,2,"Dec 10, 2004 to Mar 11, 2005",Unknown,Y.O.U.C,Kitty Media,Unknown,Visual novel,30 min. per ep.,Rx - Hentai,Unknown,6511,4926,38,380,2745,177,174,1450,233.0,106.0,220.0,411.0,346.0,255.0,132.0,104.0,53.0,51.0
2009,2009,2195,Heisa Byouin,5.92,Hentai,Naughty Nurses,閉鎖病院,OVA,2,"Dec 12, 2003 to Mar 12, 2004",Unknown,Y.O.U.C,Unknown,Unknown,Original,30 min. per ep.,Rx - Hentai,Unknown,8344,2447,1,189,1307,136,103,712,49.0,18.0,81.0,167.0,203.0,145.0,75.0,27.0,27.0,32.0
2010,2010,2196,Genmu Senki Leda,6.21,"Action, Adventure, Fantasy, Magic, Mecha, Sci-Fi",Fantastic Adventure Of Yohko:Leda,幻夢戦記レダ,OVA,1,"Mar 1, 1985",Unknown,Toho,Nozomi Entertainment,Kaname Productions,Original,1 hr. 10 min.,G - All Ages,7299.0,6633,4711,9,131,2317,56,58,2149,48.0,61.0,205.0,464.0,507.0,302.0,114.0,64.0,21.0,11.0
2011,2011,2198,Aa! Megami-sama!: Sorezore no Tsubasa Specials,7.53,"Comedy, Magic, Romance, Seinen, Supernatural",Ah! My Goddess:Flights of Fancy Specials,ああっ女神さまっ　それぞれの翼,Special,2,"Feb 23, 2007",Unknown,AIC,"ADV Films, Funimation, NYAV Post",Unknown,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1481.0,3432,22633,37,326,17257,287,183,4580,1142.0,1617.0,3140.0,3448.0,1362.0,593.0,128.0,41.0,17.0,26.0
2012,2012,2199,Chirin no Suzu,7.07,"Adventure, Drama, Fantasy",Ringing Bell,チリンの鈴,Movie,1,"Mar 11, 1978",Unknown,Unknown,Discotek Media,"Sunrise, Sanrio",Picture book,46 min.,PG-13 - Teens 13 or older,3346.0,5089,9114,44,154,5358,67,78,3457,261.0,418.0,930.0,1385.0,734.0,281.0,123.0,42.0,15.0,19.0
2013,2013,2200,Muteki Choujin Zanbot 3,6.89,"Action, Mecha, Drama, Sci-Fi, Shounen",Invincible Superman Zanbot 3,無敵超人サンボット３,TV,23,"Oct 8, 1977 to Mar 25, 1978",Fall 1977,"Sotsu, Nagoya Broadcasting Network",Unknown,Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,4079.0,7461,3475,14,178,1212,155,155,1775,57.0,99.0,240.0,295.0,179.0,89.0,44.0,31.0,13.0,6.0
2014,2014,2201,Pokemon Movie 09: Pokemon Ranger to Umi no Ouji Manaphy,6.82,"Action, Adventure, Kids, Drama, Fantasy",Pokemon:Pokemon Ranger and the Temple of the Sea,ポケットモンスターアドバンスジェネレーション ポケモンレンジャーと蒼海の王子 マナフィ,Movie,1,"Jul 15, 2006",Unknown,Studio Jack,"VIZ Media, The Pokemon Company International",OLM,Game,1 hr. 45 min.,PG - Children,4366.0,1888,65497,100,311,61213,209,210,3554,2624.0,3243.0,6758.0,11552.0,8437.0,4726.0,1617.0,628.0,276.0,187.0
2015,2015,2202,Waga Seishun no Arcadia,7.49,"Action, Adventure, Drama, Sci-Fi, Space",Unknown,わが青春のアルカディア,Movie,1,"Jul 28, 1982",Unknown,Unknown,"AnimEigo, Discotek Media",Toei Animation,Unknown,2 hr. 10 min.,PG-13 - Teens 13 or older,1618.0,5334,8059,87,162,4432,114,106,3245,380.0,519.0,940.0,836.0,398.0,176.0,77.0,33.0,14.0,10.0
2016,2016,2203,Waga Seishun no Arcadia: Mugen Kidou SSX,7.4,"Action, Adventure, Drama, Sci-Fi, Space",Endless Orbit SSX,わが青春のアルカディア・無限軌道ＳＳＸ,TV,22,"Oct 13, 1982 to Mar 30, 1983",Fall 1982,TBS,Discotek Media,Toei Animation,Unknown,25 min. per ep.,PG-13 - Teens 13 or older,1919.0,6377,5179,28,279,2333,206,173,2188,184.0,226.0,474.0,533.0,218.0,84.0,43.0,8.0,7.0,5.0
2017,2017,2204,Karakurizoushi Ayatsuri Sakon,7.39,"Mystery, Horror, Thriller, Shounen",Unknown,人形草紙あやつり左近,TV,26,"Oct 8, 1999 to Mar 31, 2000",Fall 1999,WOWOW,Unknown,TMS Entertainment,Manga,25 min. per ep.,R - 17+ (violence & profanity),1957.0,4968,9687,54,488,3145,563,541,4950,239.0,353.0,746.0,733.0,401.0,199.0,58.0,22.0,20.0,12.0
2018,2018,2205,Bakuretsu Tenshi: Infinity,6.79,"Action, Comedy, Mecha, Sci-Fi, Shounen",Unknown,爆裂天使 -Infinity-,OVA,1,"Mar 23, 2007",Unknown,Unknown,Funimation,Gonzo,Original,27 min.,PG-13 - Teens 13 or older,4469.0,4241,14331,14,265,9281,205,145,4435,329.0,509.0,1191.0,1906.0,1369.0,637.0,250.0,97.0,43.0,35.0
2019,2019,2206,Galaxy Angel Music Collection: Shouen to Shien no Cassoulet,6.95,"Sci-Fi, Comedy",Unknown,ギャラクシーエンジェル ミュージックコレクション 硝煙と紫煙のカスレ,OVA,1,"Apr 25, 2002",Unknown,"Bandai Visual, Broccoli",Bandai Entertainment,Madhouse,Unknown,13 min.,PG-13 - Teens 13 or older,3812.0,7958,2820,1,39,1750,54,57,920,84.0,90.0,216.0,366.0,210.0,110.0,29.0,9.0,6.0,3.0
2020,2020,2207,Hamelin no Violin Hiki: The Movie,6.46,"Adventure, Comedy, Fantasy",Unknown,ハーメルンのバイオリン弾き,Movie,1,"Apr 20, 1996",Unknown,Pony Canyon,Unknown,Nippon Animation,Manga,30 min.,PG-13 - Teens 13 or older,6103.0,8679,2125,5,36,1263,43,44,739,47.0,51.0,132.0,244.0,199.0,128.0,66.0,15.0,9.0,9.0
2021,2021,2208,Flutter of Birds II: Tenshi-tachi no Tsubasa,5.73,"Drama, Hentai, Romance",Unknown,flutter of birds II 天使たちの翼,OVA,2,"May 23, 2003 to Aug 22, 2003",Unknown,Silky’s,Unknown,Arms,Visual novel,30 min. per ep.,Rx - Hentai,Unknown,9723,1407,0,79,709,67,83,469,20.0,16.0,34.0,66.0,88.0,88.0,48.0,31.0,15.0,25.0
2022,2022,2209,V.G.Neo The Animation,5.7,"Action, Martial Arts, Hentai",Variable Geo Neo,V.G.NEO THE ANIMATION,OVA,3,"Feb 25, 2004 to Jan 25, 2005",Unknown,Milky Animation Label,Unknown,Studio Jam,Visual novel,30 min. per ep.,Rx - Hentai,Unknown,7674,3168,2,201,1572,136,160,1099,59.0,49.0,88.0,210.0,219.0,221.0,109.0,78.0,44.0,47.0
2023,2023,2210,Tooi Sekai,6.34,"Romance, Drama",Unknown,遠い世界,ONA,1,"Feb 1, 1999",Unknown,Unknown,Unknown,Unknown,Unknown,1 min.,PG-13 - Teens 13 or older,6689.0,4190,14677,13,96,12558,55,47,1921,504.0,601.0,1157.0,2226.0,2000.0,1417.0,633.0,330.0,173.0,144.0
2024,2024,2211,Jumping,6.49,Adventure,Unknown,ジャンピング,Movie,1,"Jun, 1984",Unknown,Tezuka Productions,Unknown,Unknown,Original,6 min.,G - All Ages,5949.0,7194,3831,5,40,3061,27,36,667,83.0,130.0,366.0,627.0,504.0,316.0,115.0,47.0,40.0,22.0
2025,2025,2212,Bakuretsu Tenshi: Infinity Special,6.71,"Action, Sci-Fi, Mecha",Unknown,爆裂天使 -Infinity-,Special,1,"Mar 23, 2007",Unknown,Media Factory,Funimation,Gonzo,Original,3 min.,PG-13 - Teens 13 or older,4844.0,6287,5363,3,100,2636,108,99,2420,114.0,151.0,284.0,456.0,357.0,199.0,57.0,30.0,12.0,22.0
2026,2026,2213,Black Jack (TV),7.62,Drama,Unknown,ブラックジャック,TV,61,"Oct 11, 2004 to Mar 6, 2006",Fall 2004,Yomiuri Telecasting,Unknown,Tezuka Productions,Manga,25 min. per ep.,PG-13 - Teens 13 or older,1222.0,3121,27479,193,1805,11383,2315,1839,10137,1021.0,1441.0,2734.0,2830.0,1239.0,474.0,160.0,79.0,19.0,49.0
2027,2027,2214,Black Jack 21,7.59,"Action, Drama",Unknown,ブラック・ジャック21,TV,17,"Apr 10, 2006 to Sep 4, 2006",Spring 2006,"Avex Entertainment, Yomiuri Telecasting",Unknown,Tezuka Productions,Unknown,24 min. per ep.,PG-13 - Teens 13 or older,1296.0,4785,10702,62,415,5837,365,333,3752,435.0,618.0,1204.0,1070.0,499.0,184.0,53.0,19.0,5.0,24.0
2028,2028,2215,Kishin Taisen Gigantic Formula,6.87,"Mecha, Sci-Fi",Unknown,機神大戦 ギガンティック・フォーミュラ,TV,26,"Apr 5, 2007 to Sep 27, 2007",Spring 2007,"Bandai Visual, TV Tokyo Music",Unknown,Brain's Base,Original,24 min. per ep.,PG-13 - Teens 13 or older,4172.0,6034,5931,7,374,2211,409,482,2455,86.0,143.0,415.0,571.0,395.0,207.0,61.0,35.0,20.0,15.0
2029,2029,2216,Shigurui,7.41,"Action, Historical, Psychological, Drama, Martial Arts, Samurai, Seinen",Shigurui:Death Frenzy,シグルイ,TV,12,"Jul 19, 2007 to Oct 11, 2007",Summer 2007,"Geneon Universal Entertainment, WOWOW, Akita Shoten",Funimation,Madhouse,Manga,23 min. per ep.,R+ - Mild Nudity,1863.0,1471,94434,765,4849,35064,3208,3462,47851,2983.0,4636.0,7633.0,7548.0,3743.0,1753.0,983.0,454.0,262.0,255.0
2030,2030,2217,Hand Maid May: Akiramemasen,6.74,"Sci-Fi, Harem, Comedy, Romance, Ecchi",Unknown,HAND MAID メイ「あきらめません」,Special,1,"Feb 21, 2001",Unknown,Unknown,Unknown,Production Reed,Unknown,28 min.,PG-13 - Teens 13 or older,4713.0,5451,7690,5,99,6233,82,64,1212,184.0,338.0,714.0,1298.0,899.0,468.0,166.0,63.0,39.0,27.0
2031,2031,2218,Fujimi 2-choume Koukyougakudan,5.56,"Drama, Music, Psychological, Romance, Slice of Life, Yaoi",Unknown,富士見二丁目交響楽団,OVA,1,"Jul 22, 1997",Unknown,AIC,Unknown,Unknown,Light novel,1 hr.,R+ - Mild Nudity,Unknown,5716,6855,9,104,5129,58,156,1408,128.0,127.0,269.0,638.0,744.0,644.0,448.0,220.0,176.0,139.0
2032,2032,2219,Ryokunohara Meikyuu,5.13,"Dementia, Psychological, Drama, Romance, Shoujo, Shounen Ai",Unknown,緑野原迷宮,OVA,1,"May 25, 1990",Unknown,Victor Entertainment,Unknown,AIC,Manga,40 min.,PG-13 - Teens 13 or older,10429.0,7379,3587,3,84,1900,57,100,1446,46.0,18.0,75.0,149.0,261.0,293.0,212.0,116.0,94.0,74.0
2033,2033,2220,Be-Boy Kidnapp'n Idol,5.55,"Drama, Shounen Ai",Be-Boy Kidnapp'n Idol,BE-BOY KIDNAPP'N IDOL,OVA,1,"Dec 22, 1989",Unknown,Unknown,Unknown,AIC,Original,26 min.,PG-13 - Teens 13 or older,9551.0,5461,7664,15,110,5728,65,115,1646,135.0,90.0,252.0,628.0,888.0,940.0,501.0,226.0,146.0,107.0
2034,2034,2221,Aishite Knight,6.72,"Comedy, Romance, Shoujo",Rock'n Roll Kids,愛してナイト,TV,42,"Mar 1, 1983 to Jan 24, 1984",Spring 1983,Unknown,Unknown,Toei Animation,Manga,25 min. per ep.,PG - Children,4783.0,5800,6615,41,326,3439,367,413,2070,195.0,210.0,436.0,734.0,602.0,294.0,114.0,57.0,38.0,22.0
2035,2035,2222,Dr. Slump: Arale-chan,7.16,"Sci-Fi, Slice of Life, Comedy, Shounen",Unknown,Dr.スランプ・アラレちゃん,TV,243,"Apr 8, 1981 to Feb 19, 1986",Spring 1981,Fuji TV,Unknown,Toei Animation,Manga,25 min. per ep.,PG-13 - Teens 13 or older,2946.0,4695,11261,51,817,4671,1036,1172,3565,363.0,424.0,1009.0,1337.0,780.0,301.0,103.0,40.0,19.0,33.0
2036,2036,2223,Maple Town Monogatari,6.8,"Slice of Life, Fantasy",Maple Town,メイプルタウン物語,TV,52,"Jan 19, 1986 to Jan 11, 1987",Winter 1986,Unknown,Saban Entertainment,Toei Animation,Unknown,24 min. per ep.,G - All Ages,4448.0,8889,1955,10,94,868,105,174,714,43.0,50.0,118.0,169.0,120.0,69.0,24.0,12.0,10.0,4.0
2037,2037,2224,Hikari no Densetsu,6.6,"Music, Romance, Shoujo, Sports",Unknown,光の伝説,TV,19,"May 3, 1986 to Sep 20, 1986",Spring 1986,Unknown,Unknown,Tatsunoko Production,Manga,24 min. per ep.,PG - Children,5392.0,7181,3888,19,198,1588,142,188,1772,56.0,76.0,206.0,340.0,311.0,162.0,54.0,25.0,12.0,9.0
2038,2038,2225,Alps no Shoujo Heidi,7.28,"Slice of Life, Historical, Drama",Unknown,アルプスの少女ハイジ,TV,52,"Jan 6, 1974 to Dec 29, 1974",Winter 1974,Fuji TV,Unknown,Nippon Animation,Book,25 min. per ep.,PG - Children,2406.0,3211,26022,189,745,18659,844,1065,4709,1609.0,1513.0,2890.0,3836.0,2371.0,1151.0,275.0,113.0,76.0,73.0
2039,2039,2226,Mori no Tonto-tachi,6.19,"Fantasy, Kids",A Christmas Adventure,森のトントたち,TV,23,"Oct 5, 1984 to Mar 29, 1985",Fall 1984,Fuji TV,Unknown,"Nippon Animation, Shaft",Unknown,25 min. per ep.,G - All Ages,7436.0,11902,547,1,17,269,18,84,159,8.0,17.0,13.0,39.0,48.0,37.0,17.0,8.0,4.0,3.0
2040,2040,2227,Lady Lady!!,7.51,"Historical, Drama, Shoujo",Unknown,レディレディ！！,TV,21,"Oct 21, 1987 to Mar 23, 1988",Fall 1987,Unknown,Unknown,Toei Animation,Manga,23 min. per ep.,G - All Ages,1560.0,6531,4882,37,137,2793,149,241,1562,320.0,268.0,414.0,477.0,292.0,129.0,34.0,17.0,13.0,12.0
2041,2041,2228,Honoo no Toukyuuji: Dodge Danpei,7.28,"Comedy, Sports",Unknown,炎の闘球児・ドッジ弾平,TV,47,"Oct 14, 1991 to Sep 21, 1992",Fall 1991,"TV Tokyo, Shogakukan-Shueisha Productions",Unknown,Animation 21,Unknown,25 min. per ep.,PG - Children,2419.0,7084,4015,16,111,2973,96,180,655,202.0,239.0,563.0,621.0,318.0,143.0,50.0,26.0,10.0,8.0
2042,2042,2229,Dragon Quest: Dai no Daibouken (TV),7.63,"Adventure, Comedy, Demons, Magic, Martial Arts, Fantasy, Shounen",Unknown,ドラゴンクエスト・ダイの大冒険,TV,46,"Oct 17, 1991 to Sep 24, 1992",Fall 1991,Unknown,Unknown,Toei Animation,Manga,24 min. per ep.,G - All Ages,1197.0,3777,18558,108,1015,11010,837,817,4879,1026.0,1344.0,2489.0,2448.0,1041.0,422.0,122.0,43.0,24.0,19.0
2043,2043,2230,Hana no Ko Lunlun,6.85,"Adventure, Drama, Magic, Shoujo",Flower Angel,花の子ルンルン,TV,50,"Feb 9, 1979 to Feb 8, 1980",Winter 1979,"TV Asahi, Asatsu DK",Unknown,Toei Animation,Original,24 min. per ep.,G - All Ages,4233.0,7093,4001,16,153,1633,199,244,1772,72.0,123.0,232.0,350.0,250.0,137.0,30.0,28.0,12.0,9.0
2044,2044,2231,Miyuki,6.72,"Romance, School, Shounen",Unknown,みゆき,TV,37,"Mar 31, 1983 to Apr 20, 1984",Spring 1983,Kitty Films,Unknown,Unknown,Manga,25 min. per ep.,PG-13 - Teens 13 or older,4803.0,7843,2966,10,220,774,178,201,1593,44.0,54.0,114.0,206.0,149.0,89.0,37.0,7.0,6.0,8.0
